customer_id,email,age,income,purchase_frequency,avg_order_value,will_purchase
1118,customer118@example.com,56,38995.31,5,115.46,1
1284,customer284@example.com,20,40610.51,3,116.28,1
1387,customer387@example.com,66,1217.88,3,118.1,0
1023,customer23@example.com,61,101189.76,2,111.83,1
1120,customer120@example.com,21,51902.52,1,119.94,1
1038,customer38@example.com,45,29568.96,3,95.15,1
1112,customer112@example.com,19,22441.21,3,89.41,1
1391,customer391@example.com,53,64769.33,2,105.14,1
1358,customer358@example.com,33,55269.72,5,149.25,1
1004,customer4@example.com,26,36461.56,0,118.35,0
1288,customer288@example.com,34,68611.69,7,120.33,1
1098,customer98@example.com,54,66250.52,7,140.69,1
1269,customer269@example.com,32,46989.32,5,71.03,1
1190,customer190@example.com,32,34214.83,2,122.31,0
1184,customer184@example.com,62,37793.56,5,90.52,1
1259,customer259@example.com,50,66998.42,0,60.66,1
1014,customer14@example.com,20,50102.27,3,92.96,0
1344,customer344@example.com,49,87723.72,6,105.24,1
1385,customer385@example.com,66,48712.44,3,110.35,1
1175,customer175@example.com,43,72856.46,6,122.56,1
1374,customer374@example.com,23,65793.46,5,112.94,1
1143,customer143@example.com,57,62410.96,2,95.17,0
1399,customer399@example.com,47,29445.78,8,122.24,1
1217,customer217@example.com,36,60438.83,4,108.91,1
1063,customer63@example.com,37,13003.94,7,135.06,1
1152,customer152@example.com,31,73171.91,6,75.38,1
1202,customer202@example.com,55,49771.13,7,112.4,1
1144,customer144@example.com,66,14334.98,7,92.71,1
1080,customer80@example.com,49,41069.7,5,125.69,1
1058,customer58@example.com,39,23886.05,5,77.48,1
1047,customer47@example.com,43,56088.98,10,107.72,1
1133,customer133@example.com,39,31731.75,5,86.35,1
1303,customer303@example.com,54,81207.6,3,103.86,1
1400,customer400@example.com,64,34689.81,3,112.67,1
1340,customer340@example.com,36,34149.59,4,96.56,1
1333,customer333@example.com,18,19023.43,4,89.71,1
1347,customer347@example.com,22,23463.36,3,155.31,1
1320,customer320@example.com,22,44386.9,2,81.88,0
1126,customer126@example.com,38,24101.15,4,96.85,1
1078,customer78@example.com,36,73263.28,3,100.31,1
1095,customer95@example.com,49,52270.35,8,119.86,1
1173,customer173@example.com,48,41629.82,6,96.66,1
1380,customer380@example.com,67,67992.0,8,109.22,1
1361,customer361@example.com,41,53609.85,5,132.13,1
1189,customer189@example.com,42,63639.06,1,90.69,0
1225,customer225@example.com,29,57840.84,4,96.26,1
1240,customer240@example.com,69,73162.22,4,123.75,1
1257,customer257@example.com,22,56490.37,10,150.26,1
1334,customer334@example.com,55,73087.09,7,85.68,1
1048,customer48@example.com,56,18270.73,8,87.33,1
1280,customer280@example.com,42,43135.98,3,113.73,0
1121,customer121@example.com,38,59472.55,7,101.63,1
1156,customer156@example.com,49,47134.33,2,81.98,1
1104,customer104@example.com,25,70652.01,7,45.7,1
1389,customer389@example.com,63,83693.7,4,48.09,1
1227,customer227@example.com,18,56812.31,5,99.59,1
1197,customer197@example.com,18,56849.14,7,157.35,1
1205,customer205@example.com,62,22628.2,5,116.06,1
1084,customer84@example.com,67,53399.46,4,134.6,1
1266,customer266@example.com,38,72992.46,8,115.76,1
1030,customer30@example.com,32,82572.31,6,58.6,1
1309,customer309@example.com,19,72453.55,2,56.76,1
1310,customer310@example.com,48,82235.86,7,75.61,1
1002,customer2@example.com,35,33690.02,2,83.23,1
1345,customer345@example.com,51,42506.77,4,75.44,1
1371,customer371@example.com,65,47753.44,5,93.37,1
1115,customer115@example.com,40,85614.59,2,107.57,1
1216,customer216@example.com,40,111577.62,3,133.59,1
1122,customer122@example.com,54,55198.43,4,61.27,1
1049,customer49@example.com,27,49840.55,5,144.4,1
1177,customer177@example.com,23,54519.95,4,125.19,1
1322,customer322@example.com,23,36987.15,4,85.39,1
1313,customer313@example.com,57,53479.33,1,127.24,0
1045,customer45@example.com,47,60018.34,6,70.67,1
1102,customer102@example.com,50,54317.21,6,151.27,1
1076,customer76@example.com,27,89940.16,3,159.52,1
1274,customer274@example.com,26,35533.22,8,173.02,1
1085,customer85@example.com,57,61586.07,7,114.92,1
1337,customer337@example.com,35,44997.55,5,139.03,1
1336,customer336@example.com,19,67848.22,5,102.87,1
1218,customer218@example.com,46,84116.5,7,99.03,1
1016,customer16@example.com,27,70750.8,3,84.7,1
1379,customer379@example.com,22,-1458.62,2,88.43,0
1360,customer360@example.com,43,34524.22,6,62.66,1
1042,customer42@example.com,35,45943.08,9,101.41,1
1332,customer332@example.com,57,43414.53,4,85.89,1
1082,customer82@example.com,32,38238.26,2,96.0,1
1230,customer230@example.com,69,66463.41,5,102.2,1
1139,customer139@example.com,41,26114.59,3,108.32,1
1033,customer33@example.com,67,29656.16,3,115.5,0
1195,customer195@example.com,66,28794.83,6,66.46,0
1141,customer141@example.com,36,77771.65,4,20.22,0
1196,customer196@example.com,56,33426.84,9,127.65,1
1312,customer312@example.com,25,51974.92,3,96.09,1
1072,customer72@example.com,31,74996.11,5,112.61,1
1097,customer97@example.com,50,56522.66,6,62.47,1
1276,customer276@example.com,22,73704.21,5,79.9,1
1053,customer53@example.com,63,23314.24,7,96.36,1
1328,customer328@example.com,46,39204.81,2,76.65,1
1007,customer7@example.com,55,47026.07,3,79.62,1
1286,customer286@example.com,48,55120.59,6,129.48,1
1113,customer113@example.com,60,45499.88,8,136.23,1
1167,customer167@example.com,36,38487.24,5,103.66,1
1223,customer223@example.com,42,65359.67,2,148.04,1
1013,customer13@example.com,68,62436.2,3,52.89,0
1050,customer50@example.com,66,53554.02,8,59.94,0
1378,customer378@example.com,62,43793.09,5,103.47,1
1215,customer215@example.com,68,49208.9,5,120.45,1
1302,customer302@example.com,62,54442.68,3,85.64,1
1017,customer17@example.com,46,74603.23,6,125.08,1
1366,customer366@example.com,35,39654.23,8,142.28,1
1174,customer174@example.com,31,65723.5,4,86.43,1
1178,customer178@example.com,41,37028.96,8,124.06,1
1136,customer136@example.com,68,18600.79,3,102.22,1
1180,customer180@example.com,22,25016.5,8,117.14,1
1368,customer368@example.com,64,47338.84,3,133.77,1
1314,customer314@example.com,59,60869.98,4,132.51,1
1111,customer111@example.com,43,61021.35,3,101.17,0
1253,customer253@example.com,46,53027.39,7,125.88,1
1367,customer367@example.com,30,60048.33,6,125.72,1
1294,customer294@example.com,27,39162.02,1,119.17,1
1094,customer94@example.com,30,45485.73,8,100.1,1
1066,customer66@example.com,27,73727.75,5,92.91,1
1226,customer226@example.com,34,65038.05,2,129.31,1
1372,customer372@example.com,31,38821.56,2,111.32,1
